Epoch: 00, Loss: 0.5181, ValLoss: 0.5125 
Epoch: 01, Loss: 0.4737, ValLoss: 0.5008 
Epoch: 02, Loss: 0.4568, ValLoss: 0.4906 
Epoch: 03, Loss: 0.4391, ValLoss: 0.4885 
Epoch: 04, Loss: 0.4285, ValLoss: 0.5070 
Epoch: 05, Loss: 0.4214, ValLoss: 0.4949 
Epoch: 06, Loss: 0.4083, ValLoss: 0.4507 
Epoch: 07, Loss: 0.3961, ValLoss: 0.4203 
Epoch: 08, Loss: 0.3867, ValLoss: 0.4158 
Epoch: 09, Loss: 0.3815, ValLoss: 0.4438 
Epoch: 10, Loss: 0.3731, ValLoss: 0.4146 
Epoch: 11, Loss: 0.3677, ValLoss: 0.4093 
Epoch: 12, Loss: 0.3609, ValLoss: 0.4087 
Epoch: 13, Loss: 0.3658, ValLoss: 0.4120 
Epoch: 14, Loss: 0.3610, ValLoss: 0.3816 
Epoch: 15, Loss: 0.3540, ValLoss: 0.3946 
Epoch: 16, Loss: 0.3515, ValLoss: 0.4001 
Epoch: 17, Loss: 0.3481, ValLoss: 0.3963 
Epoch: 18, Loss: 0.3455, ValLoss: 0.3716 
Epoch: 19, Loss: 0.3539, ValLoss: 0.3829 
Epoch: 20, Loss: 0.3448, ValLoss: 0.4085 
Epoch: 21, Loss: 0.3422, ValLoss: 0.3804 
Epoch: 22, Loss: 0.3402, ValLoss: 0.3722 
Epoch: 23, Loss: 0.3338, ValLoss: 0.3725 
Epoch: 24, Loss: 0.3382, ValLoss: 0.3709 
Epoch: 25, Loss: 0.3345, ValLoss: 0.3608 
Epoch: 26, Loss: 0.3210, ValLoss: 0.3653 
Epoch: 27, Loss: 0.3283, ValLoss: 0.3984 
Epoch: 28, Loss: 0.3492, ValLoss: 0.3892 
Epoch: 29, Loss: 0.3307, ValLoss: 0.3560 
Epoch: 30, Loss: 0.3280, ValLoss: 0.3580 
Epoch: 31, Loss: 0.3153, ValLoss: 0.3419 
Epoch: 32, Loss: 0.3179, ValLoss: 0.3530 
Epoch: 33, Loss: 0.3126, ValLoss: 0.3367 
Epoch: 34, Loss: 0.3058, ValLoss: 0.3385 
Epoch: 35, Loss: 0.3009, ValLoss: 0.3297 
Epoch: 36, Loss: 0.3068, ValLoss: 0.3384 
Epoch: 37, Loss: 0.3018, ValLoss: 0.3275 
Epoch: 38, Loss: 0.2949, ValLoss: 0.3336 
Epoch: 39, Loss: 0.2902, ValLoss: 0.3365 
Epoch: 40, Loss: 0.2899, ValLoss: 0.3343 
Epoch: 41, Loss: 0.2875, ValLoss: 0.3220 
Epoch: 42, Loss: 0.2824, ValLoss: 0.3276 
Epoch: 43, Loss: 0.2831, ValLoss: 0.3306 
Epoch: 44, Loss: 0.2827, ValLoss: 0.3248 
Epoch: 45, Loss: 0.2736, ValLoss: 0.3266 
Epoch: 46, Loss: 0.2810, ValLoss: 0.3102 
Epoch: 47, Loss: 0.2731, ValLoss: 0.3222 
Epoch: 48, Loss: 0.2732, ValLoss: 0.3122 
Epoch: 49, Loss: 0.2649, ValLoss: 0.2966 
Epoch: 50, Loss: 0.2711, ValLoss: 0.3038 
Epoch: 51, Loss: 0.2712, ValLoss: 0.3060 
Epoch: 52, Loss: 0.2647, ValLoss: 0.3100 
Epoch: 53, Loss: 0.2621, ValLoss: 0.2937 
Epoch: 54, Loss: 0.2577, ValLoss: 0.2959 
Epoch: 55, Loss: 0.2600, ValLoss: 0.3022 
Epoch: 56, Loss: 0.2644, ValLoss: 0.3085 
Epoch: 57, Loss: 0.2535, ValLoss: 0.2889 
Epoch: 58, Loss: 0.2547, ValLoss: 0.2937 
Epoch: 59, Loss: 0.2556, ValLoss: 0.2891 
Epoch: 60, Loss: 0.2525, ValLoss: 0.3005 
Epoch: 61, Loss: 0.2508, ValLoss: 0.2960 
Epoch: 62, Loss: 0.2523, ValLoss: 0.2979 
Epoch: 63, Loss: 0.2458, ValLoss: 0.2886 
Epoch: 64, Loss: 0.2449, ValLoss: 0.2840 
Epoch: 65, Loss: 0.2392, ValLoss: 0.2782 
Epoch: 66, Loss: 0.2435, ValLoss: 0.2843 
Epoch: 67, Loss: 0.2365, ValLoss: 0.2757 
Epoch: 68, Loss: 0.2320, ValLoss: 0.2721 
Epoch: 69, Loss: 0.2354, ValLoss: 0.2858 
Epoch: 70, Loss: 0.2338, ValLoss: 0.2764 
Epoch: 71, Loss: 0.2379, ValLoss: 0.2774 
Epoch: 72, Loss: 0.2391, ValLoss: 0.2789 
Epoch: 73, Loss: 0.2352, ValLoss: 0.2893 
Epoch: 74, Loss: 0.2295, ValLoss: 0.2757 
Epoch: 75, Loss: 0.2258, ValLoss: 0.2806 
Epoch: 76, Loss: 0.2264, ValLoss: 0.2849 
Epoch: 77, Loss: 0.2244, ValLoss: 0.2926 
Epoch: 78, Loss: 0.2276, ValLoss: 0.2945 
Epoch: 79, Loss: 0.2205, ValLoss: 0.2845 
Epoch: 80, Loss: 0.2247, ValLoss: 0.2752 
Epoch: 81, Loss: 0.2202, ValLoss: 0.2818 
Epoch: 82, Loss: 0.2218, ValLoss: 0.2785 
Epoch: 83, Loss: 0.2223, ValLoss: 0.2709 
